vin_prefix,year,make,model
WBAEH734_4,2004,BMW,6 Series
WBAEH734_5,2005,BMW,6 Series
WBAEH134_6,2006,BMW,6 Series
WBAEK134_6,2006,BMW,6 Series
WBAEK135_7,2007,BMW,6 Series
WBAEA535_8,2008,BMW,6 Series
WBAEB535_8,2008,BMW,6 Series
WBA6A0C5_F,2015,BMW,6 Series
WBAGG834_Y,2000,BMW,7 Series
WBAGN634_2,2002,BMW,7 Series
WBAGN834_3,2003,BMW,7 Series
WBAGN635_5,2005,BMW,7 Series
WBAHL035_6,2006,BMW,7 Series
WBAHL835_6,2006,BMW,7 Series
WBAHN835_6,2006,BMW,7 Series
WBAHL835_7,2007,BMW,7 Series
WBAHN835_7,2007,BMW,7 Series
WBAHN835_8,2008,BMW,7 Series
WBAKB835_9,2009,BMW,7 Series
WBAKB8C5_A,2010,BMW,7 Series
WBAYA8C5_D,2013,BMW,7 Series
WBAYE8C5_D,2013,BMW,7 Series
WBAYA8C5_E,2014,BMW,7 Series
WBSBR934_2,2002,BMW,M3
WBSBR934_5,2005,BMW,M3
WBSKG9C5_C,2012,BMW,M3
WBS3C9C5_F,2015,BMW,M3
WBS3R9C5_F,2015,BMW,M4
WBSDE934_3,2003,BMW,M5
WBSNB935_8,2008,BMW,M5
WBSEK935_7,2007,BMW,M6
WBXPA734_4,2004,BMW,X3
WBXPA934_4,2004,BMW,X3
WBXPA934_5,2005,BMW,X3
WBXPA934_6,2006,BMW,X3
WBXPC934_7,2007,BMW,X3
WBXPC934_8,2008,BMW,X3
WBXPC934_9,2009,BMW,X3
5UXWX9C5_E,2014,BMW,X3
5UXWX9C5_F,2015,BMW,X3
5UXWX9C5_G,2016,BMW,X3
5UXFA535_2,2002,BMW,X5
5UXFA535_3,2003,BMW,X5
5UXFB335_3,2003,BMW,X5
5UXFB535_5,2005,BMW,X5
5UXFB535_6,2006,BMW,X5
4USFE435_7,2007,BMW,X5
5UXFE435_7,2007,BMW,X5
5UXFE435_8,2008,BMW,X5
5UXFE4C5_A,2010,BMW,X5
5UXZV4C5_B,2011,BMW,X5
5UXZW0C5_B,2011,BMW,X5
5UXZV8C5_D,2013,BMW,X5
5UXKR0C5_E,2014,BMW,X5
5UXKR6C5_F,2015,BMW,X5
5UXKR0C5_G,2016,BMW,X5
5UXKT0C5_G,2016,BMW,X5
5UXFG2C5_D,2013,BMW,X6
4USCJ332_V,1997,BMW,Z3
4USCH732_W,1998,BMW,Z3
4USCH733_W,1998,BMW,Z3
4USCN534_2,2002,BMW,Z3
4USBT334_3,2003,BMW,Z4
4USBT335_4,2004,BMW,Z4
4USBT535_4,2004,BMW,Z4
4USBT535_5,2005,BMW,Z4
4USBU335_6,2006,BMW,Z4
SCBCR63W_4,2004,Bentley,Continental
SCBCR63W_5,2005,Bentley,Continental
SCBBR53W_6,2006,Bentley,Continental
SCBZR03D_L,1990,Bentley,Turbo
2G4WS52M_X,1999,Buick,Century
2G4WY52M_X,1999,Buick,Century
2G4WS52J_Y,2000,Buick,Century
2G4WS52J_1,2001,Buick,Century
2G4WY55J_1,2001,Buick,Century
2G4WS52J_2,2002,Buick,Century
5GAER137_8,2008,Buick,Enclave
5GAER237_8,2008,Buick,Enclave
5GAEV237_8,2008,Buick,Enclave
5GAER23D_9,2009,Buick,Enclave
5GAEV23D_9,2009,Buick,Enclave
5GALRBED_A,2010,Buick,Enclave
5GAKRBED_B,2011,Buick,Enclave
5GAKVCED_B,2011,Buick,Enclave
5GAKRCED_C,2012,Buick,Enclave
5GAKVDED_C,2012,Buick,Enclave
5GAKRAKD_E,2014,Buick,Enclave
5GAKRBKD_E,2014,Buick,Enclave
5GAKVAKD_E,2014,Buick,Enclave
5GAKVCKD_E,2014,Buick,Enclave
5GAKRCKD_F,2015,Buick,Enclave
5GAKRBKD_G,2016,Buick,Enclave
5GAKVBKD_G,2016,Buick,Enclave
5GAKRBKD_H,2017,Buick,Enclave
KL4CJBSB_D,2013,Buick,Encore
KL4CJASB_E,2014,Buick,Encore
KL4CJBSB_E,2014,Buick,Encore
KL4CJCSB_E,2014,Buick,Encore
KL4CJGSB_E,2014,Buick,Encore
KL4CJBSB_F,2015,Buick,Encore
KL4CJFSB_F,2015,Buick,Encore
KL4CJASB_G,2016,Buick,Encore
KL4CJCSB_G,2016,Buick,Encore
2G4WC532_5,2005,Buick,LaCrosse
2G4WC552_6,2006,Buick,LaCrosse
2G4WC582_6,2006,Buick,LaCrosse
2G4WD582_6,2006,Buick,LaCrosse
2G4WE587_6,2006,Buick,LaCrosse
2G4WD582_7,2007,Buick,LaCrosse
2G4WC582_8,2008,Buick,LaCrosse
2G4WD582_8,2008,Buick,LaCrosse
2G4WD582_9,2009,Buick,LaCrosse
1G4GC5EC_B,2011,Buick,LaCrosse
1G4GE5ED_B,2011,Buick,LaCrosse
1G4GD5E3_C,2012,Buick,LaCrosse
1G4GF5E3_C,2012,Buick,LaCrosse
1G4GA5E3_D,2013,Buick,LaCrosse
1G4GC5E3_D,2013,Buick,LaCrosse
1G4GB5G3_E,2014,Buick,LaCrosse
1G4GD5G3_E,2014,Buick,LaCrosse
1G4GB5G3_G,2016,Buick,LaCrosse
1G4HP52K_V,1997,Buick,LeSabre
1G4HP54K_2,2002,Buick,LeSabre
1G4HP52K_3,2003,Buick,LeSabre
1G4HR54K_3,2003,Buick,LeSabre
1G4HP52K_4,2004,Buick,LeSabre
1G4HP52K_5,2005,Buick,LeSabre
1G4HP54K_5,2005,Buick,LeSabre
1G4HD572_6,2006,Buick,Lucerne
1G4HE57Y_6,2006,Buick,Lucerne
1G4HR57Y_6,2006,Buick,Lucerne
1G4HE5EM_A,2010,Buick,Lucerne
1G4CW52K_W,1998,Buick,Park Avenue
1G4CW52K_X,1999,Buick,Park Avenue
1G4CU521_Y,2000,Buick,Park Avenue
1G4CU541_Y,2000,Buick,Park Avenue
2G4WF52K_T,1996,Buick,Regal
2G4WB52K_3,2003,Buick,Regal
2G4WB55K_4,2004,Buick,Regal
2G4GN5EC_B,2011,Buick,Regal
W04GN5EC_B,2011,Buick,Regal
W04GS5EC_B,2011,Buick,Regal
2G4GR5EK_C,2012,Buick,Regal
2G4GS5EV_D,2013,Buick,Regal
2G4GT5GV_D,2013,Buick,Regal
2G4GR5GX_E,2014,Buick,Regal
2G4GT5GX_F,2015,Buick,Regal
2G4GK5EX_G,2016,Buick,Regal
2G4GP5EX_G,2016,Buick,Regal
3G5DA03E_2,2002,Buick,Rendezvous
3G5DA03E_3,2003,Buick,Rendezvous
3G5DB037_4,2004,Buick,Rendezvous
3G5DB03E_4,2004,Buick,Rendezvous
3G5DA03L_6,2006,Buick,Rendezvous
3G5DA03L_7,2007,Buick,Rendezvous
1G4BN52P_T,1996,Buick,Roadmaster
5GADV33L_5,2005,Buick,Terraza
1G4PP5SK_C,2012,Buick,Verano
1G4PP5SK_D,2013,Buick,Verano
1G4PP5SK_E,2014,Buick,Verano
1G4PN5SK_F,2015,Buick,Verano
1G6AA5RX_D,2013,Cadillac,ATS
1G6AH5R3_D,2013,Cadillac,ATS
1G6AB5RA_F,2015,Cadillac,ATS
1G6AB5RX_G,2016,Cadillac,ATS
1G6VR317_H,1987,Cadillac,Allante
1G6VS339_P,1993,Cadillac,Allante
1G6DM57N_3,2003,Cadillac,CTS
1G6DM577_4,2004,Cadillac,CTS
1G6DM56T_5,2005,Cadillac,CTS
1G6DP567_5,2005,Cadillac,CTS
1G6DM57T_6,2006,Cadillac,CTS
1G6DP577_6,2006,Cadillac,CTS
1G6DM57T_7,2007,Cadillac,CTS
1G6DF577_8,2008,Cadillac,CTS
1G6DJ577_8,2008,Cadillac,CTS
1G6DM577_8,2008,Cadillac,CTS
1G6DR57V_8,2008,Cadillac,CTS
1G6DF577_9,2009,Cadillac,CTS
1G6DG577_9,2009,Cadillac,CTS
1G6DJ577_9,2009,Cadillac,CTS
1G6DS57V_9,2009,Cadillac,CTS
1G6DE5EG_A,2010,Cadillac,CTS
1G6DJ5EV_A,2010,Cadillac,CTS
1G6DA5EY_B,2011,Cadillac,CTS
1G6DK1ED_B,2011,Cadillac,CTS
1G6DP1E3_C,2012,Cadillac,CTS
1G6DV8EP_C,2012,Cadillac,CTS
1G6AP5SX_E,2014,Cadillac,CTS
1G6AS5SX_E,2014,Cadillac,CTS
1G6DC1E3_E,2014,Cadillac,CTS
1G6KD57Y_6,2006,Cadillac,DTS
1G6KD57Y_7,2007,Cadillac,DTS
1G6KD579_8,2008,Cadillac,DTS
1G6KD57Y_8,2008,Cadillac,DTS
1G6KD52B_S,1995,Cadillac,DeVille
1G6KD52Y_T,1996,Cadillac,DeVille
1G6KD54Y_V,1997,Cadillac,DeVille
1G6KE57Y_Y,2000,Cadillac,DeVille
1G6KD54Y_1,2001,Cadillac,DeVille
1G6KD54Y_2,2002,Cadillac,DeVille
1G6KF579_2,2002,Cadillac,DeVille
1G6KD54Y_5,2005,Cadillac,DeVille
1G6EL12Y_2,2002,Cadillac,Eldorado
1GYEK13R_X,1999,Cadillac,Escalade
1GYEK13R_Y,2000,Cadillac,Escalade
1GYEK63R_Y,2000,Cadillac,Escalade
1GYEK63N_2,2002,Cadillac,Escalade
3GYEK63N_2,2002,Cadillac,Escalade
1GYEC63T_3,2003,Cadillac,Escalade
1GYEK63N_3,2003,Cadillac,Escalade
1GYEK63N_4,2004,Cadillac,Escalade
3GYEK62N_4,2004,Cadillac,Escalade
3GYFK66N_4,2004,Cadillac,Escalade
1GYEC63N_5,2005,Cadillac,Escalade
1GYEK63N_5,2005,Cadillac,Escalade
1GYEC63N_6,2006,Cadillac,Escalade
3GYEK62N_6,2006,Cadillac,Escalade
3GYFK66N_6,2006,Cadillac,Escalade
1GYEC638_7,2007,Cadillac,Escalade
1GYFK638_7,2007,Cadillac,Escalade
1GYFK668_7,2007,Cadillac,Escalade
3GYFK628_7,2007,Cadillac,Escalade
1GYEC638_8,2008,Cadillac,Escalade
1GYFK638_8,2008,Cadillac,Escalade
1GYFK668_8,2008,Cadillac,Escalade
3GYFK628_8,2008,Cadillac,Escalade
1GYFK232_9,2009,Cadillac,Escalade
1GYUCBEF_A,2010,Cadillac,Escalade
1GYS3PKJ_F,2015,Cadillac,Escalade
1G6AB698_C,1982,Cadillac,Fleetwood
1G6DW52P_S,1995,Cadillac,Fleetwood
1GYDE63A_4,2004,Cadillac,SRX
1GYEE637_4,2004,Cadillac,SRX
1GYEE63A_4,2004,Cadillac,SRX
1GYEE637_5,2005,Cadillac,SRX
1GYEE637_6,2006,Cadillac,SRX
1GYEE63A_6,2006,Cadillac,SRX
3GYFNDEY_A,2010,Cadillac,SRX
3GYFNGEY_A,2010,Cadillac,SRX
3GYFNJE4_A,2010,Cadillac,SRX
3GYFNAEY_B,2011,Cadillac,SRX
3GYFNBEY_B,2011,Cadillac,SRX
3GYFNAE3_D,2013,Cadillac,SRX
3GYFNCE3_D,2013,Cadillac,SRX
3GYFNBE3_F,2015,Cadillac,SRX
3GYFNBE3_G,2016,Cadillac,SRX
1G6DC67A_5,2005,Cadillac,STS
1G6DW677_5,2005,Cadillac,STS
1G6DC67A_6,2006,Cadillac,STS
1G6DW677_6,2006,Cadillac,STS
1G6DC67A_7,2007,Cadillac,STS
1G6KS52Y_V,1997,Cadillac,Seville
2G61P5S3_D,2013,Cadillac,XTS
2G61M5S3_E,2014,Cadillac,XTS
2G61U5S3_F,2015,Cadillac,XTS
2G61M5S3_G,2016,Cadillac,XTS
1GNDM15Z_K,1989,Chevrolet,Astro
3GNEC13T_2,2002,Chevrolet,Avalanche 1500
3GNEK13T_2,2002,Chevrolet,Avalanche 1500
3GNEC13T_3,2003,Chevrolet,Avalanche 1500
3GNEK13T_3,2003,Chevrolet,Avalanche 1500
3GNEC12T_4,2004,Chevrolet,Avalanche 1500
3GNEK12T_4,2004,Chevrolet,Avalanche 1500
3GNEC12Z_5,2005,Chevrolet,Avalanche 1500
3GNEK12Z_5,2005,Chevrolet,Avalanche 1500
3GNEC12Z_6,2006,Chevrolet,Avalanche 1500
3GNEC120_7,2007,Chevrolet,Avalanche 1500
3GNEC12J_7,2007,Chevrolet,Avalanche 1500
3GNFK123_7,2007,Chevrolet,Avalanche 1500
3GNEC120_8,2008,Chevrolet,Avalanche 1500
3GNFK123_8,2008,Chevrolet,Avalanche 1500
3GNEC12J_9,2009,Chevrolet,Avalanche 1500
3GNEC220_9,2009,Chevrolet,Avalanche 1500
3GNFK320_9,2009,Chevrolet,Avalanche 1500
3GNNCEE0_A,2010,Chevrolet,Avalanche 1500
3GNVKGE0_A,2010,Chevrolet,Avalanche 1500
3GNTKGE3_B,2011,Chevrolet,Avalanche 1500
3GNMCGE0_D,2013,Chevrolet,Avalanche 1500
KL1TD526_5,2005,Chevrolet,Aveo
KL1TG566_7,2007,Chevrolet,Aveo
KL1TD566_8,2008,Chevrolet,Aveo
KL1TD56E_9,2009,Chevrolet,Aveo
KL1TG56E_9,2009,Chevrolet,Aveo
KL1TD5DE_A,2010,Chevrolet,Aveo
KL1TD6DE_B,2011,Chevrolet,Aveo
KL1TG5DE_B,2011,Chevrolet,Aveo
1GNCT18Z_K,1989,Chevrolet,Blazer
1GNDT13W_T,1996,Chevrolet,Blazer
1GNCS13W_Y,2000,Chevrolet,Blazer
1GNCS18W_Y,2000,Chevrolet,Blazer
1GNDT13W_Y,2000,Chevrolet,Blazer
1GNCS13W_1,2001,Chevrolet,Blazer
1GNDT13W_1,2001,Chevrolet,Blazer
1GNDT13W_2,2002,Chevrolet,Blazer
1GNCS18X_3,2003,Chevrolet,Blazer
1GNDT13X_3,2003,Chevrolet,Blazer
1GNCS18X_4,2004,Chevrolet,Blazer
1GNDT13X_4,2004,Chevrolet,Blazer
1GCEK14H_B,1981,Chevrolet,C/K 10
2GCEK14H_F,1985,Chevrolet,C/K 10
1GCEK14L_G,1986,Chevrolet,C/K 10
1GCDC14K_L,1990,Chevrolet,C/K 1500
1GCEC19K_P,1993,Chevrolet,C/K 1500
2GCEK19K_P,1993,Chevrolet,C/K 1500
2GCEC19K_S,1995,Chevrolet,C/K 1500
1GCEK19R_T,1996,Chevrolet,C/K 1500
1GCEC19W_V,1997,Chevrolet,C/K 1500
1GCEK14R_W,1998,Chevrolet,C/K 1500
1GCGC29K_R,1994,Chevrolet,C/K 2500
1GCFC29M_T,1996,Chevrolet,C/K 2500
1GCFC24M_W,1998,Chevrolet,C/K 2500
1GCGC24R_W,1998,Chevrolet,C/K 2500
1GCHC39N_S,1995,Chevrolet,C/K 3500
1GCHK33F_V,1997,Chevrolet,C/K 3500
2G1FP32K_W,1998,Chevrolet,Camaro
2G1FP32K_1,2001,Chevrolet,Camaro
2G1FP22G_2,2002,Chevrolet,Camaro
2G1FP22K_2,2002,Chevrolet,Camaro
2G1FB1EV_A,2010,Chevrolet,Camaro
2G1FC1EV_A,2010,Chevrolet,Camaro
2G1FK1EJ_A,2010,Chevrolet,Camaro
2G1FS1EW_A,2010,Chevrolet,Camaro
2G1FA1ED_B,2011,Chevrolet,Camaro
2G1FB3DD_B,2011,Chevrolet,Camaro
2G1FC1ED_B,2011,Chevrolet,Camaro
2G1FJ1EJ_B,2011,Chevrolet,Camaro
2G1FK1EJ_B,2011,Chevrolet,Camaro
2G1FK3DJ_B,2011,Chevrolet,Camaro
2G1FA1E3_C,2012,Chevrolet,Camaro
2G1FS1EP_C,2012,Chevrolet,Camaro
2G1FA1E3_D,2013,Chevrolet,Camaro
2G1FA1E3_E,2014,Chevrolet,Camaro
2G1FE1E3_E,2014,Chevrolet,Camaro
2G1FF1E3_E,2014,Chevrolet,Camaro
2G1FJ1EJ_E,2014,Chevrolet,Camaro
2G1FD1E3_F,2015,Chevrolet,Camaro
2G1FD3D3_F,2015,Chevrolet,Camaro
2G1FK3DJ_F,2015,Chevrolet,Camaro
1G1FB1RX_G,2016,Chevrolet,Camaro
1G1FH1R7_H,2017,Chevrolet,Camaro
3GNAL3EK_D,2013,Chevrolet,Captiva Sport
3GNFL3EK_D,2013,Chevrolet,Captiva Sport
3GNAL1EK_E,2014,Chevrolet,Captiva Sport
3GNAL2EK_E,2014,Chevrolet,Captiva Sport
1G1JF52T_X,1999,Chevrolet,Cavalier
1G1JC124_Y,2000,Chevrolet,Cavalier
1G1JF12T_1,2001,Chevrolet,Cavalier
1G1JF524_2,2002,Chevrolet,Cavalier
1G1JS124_2,2002,Chevrolet,Cavalier
1G1JC52F_4,2004,Chevrolet,Cavalier
1G1JF52F_4,2004,Chevrolet,Cavalier
1G1AK52F_5,2005,Chevrolet,Cobalt
1G1AL12F_5,2005,Chevrolet,Cobalt
1G1AL14F_5,2005,Chevrolet,Cobalt
1G1AK15F_6,2006,Chevrolet,Cobalt
1G1AK55F_6,2006,Chevrolet,Cobalt
1G1AK15F_7,2007,Chevrolet,Cobalt
1G1AK58F_7,2007,Chevrolet,Cobalt
1G1AL15F_7,2007,Chevrolet,Cobalt
1G1AK58F_8,2008,Chevrolet,Cobalt
1G1AL58F_8,2008,Chevrolet,Cobalt
1G1AL18H_9,2009,Chevrolet,Cobalt
1G1AP18X_9,2009,Chevrolet,Cobalt
1G1AS58H_9,2009,Chevrolet,Cobalt
1G1AT58H_9,2009,Chevrolet,Cobalt
1G1AA1F5_A,2010,Chevrolet,Cobalt
1G1AB1F5_A,2010,Chevrolet,Cobalt
1G1AD5F5_A,2010,Chevrolet,Cobalt
1G1AF5F5_A,2010,Chevrolet,Cobalt
1GCCS146_4,2004,Chevrolet,Colorado
1GCCS196_4,2004,Chevrolet,Colorado
1GCDT196_4,2004,Chevrolet,Colorado
1GCCS196_5,2005,Chevrolet,Colorado
1GCDS196_5,2005,Chevrolet,Colorado
1GCDS198_5,2005,Chevrolet,Colorado
1GCDT136_5,2005,Chevrolet,Colorado
1GCCS198_6,2006,Chevrolet,Colorado
1GCDS136_6,2006,Chevrolet,Colorado
1GCDT136_6,2006,Chevrolet,Colorado
1GBDS14E_7,2007,Chevrolet,Colorado
1GCCS199_7,2007,Chevrolet,Colorado
1GCCS13E_8,2008,Chevrolet,Colorado
1GCCS14E_8,2008,Chevrolet,Colorado
1GCCS299_8,2008,Chevrolet,Colorado
1GCCS339_8,2008,Chevrolet,Colorado
1GCCS33E_8,2008,Chevrolet,Colorado
1GCCS199_9,2009,Chevrolet,Colorado
