vin_prefix,year,make,model
WBAPH7C_B,2011,BMW,3 Series
WBAPH7G_B,2011,BMW,3 Series
WBA3A5C_D,2013,BMW,3 Series
WBA3A9G_D,2013,BMW,3 Series
WBA3B3C_D,2013,BMW,3 Series
WBA3B5G_D,2013,BMW,3 Series
WBA3C1C_D,2013,BMW,3 Series
WBA3C1G_D,2013,BMW,3 Series
WBADW3C_D,2013,BMW,3 Series
WBA3B1G_E,2014,BMW,3 Series
WBA3C3C_E,2014,BMW,3 Series
WBA3X5C_E,2014,BMW,3 Series
WBA3B3C_F,2015,BMW,3 Series
WBA8E3G_G,2016,BMW,3 Series
WBADN63_3,2003,BMW,5 Series
WBADT43_3,2003,BMW,5 Series
WBADT63_3,2003,BMW,5 Series
WBANA73_4,2004,BMW,5 Series
WBANB33_4,2004,BMW,5 Series
WBANA53_5,2005,BMW,5 Series
WBANA73_5,2005,BMW,5 Series
WBANB53_6,2006,BMW,5 Series
WBANE53_6,2006,BMW,5 Series
WBANE73_6,2006,BMW,5 Series
WBANF33_6,2006,BMW,5 Series
WBANN73_6,2006,BMW,5 Series
WBANE53_7,2007,BMW,5 Series
WBANE73_7,2007,BMW,5 Series
WBANV93_8,2008,BMW,5 Series
WBANU53_9,2009,BMW,5 Series
WBANV13_9,2009,BMW,5 Series
WBANU5C_A,2010,BMW,5 Series
WBANV1C_A,2010,BMW,5 Series
WBANW1C_A,2010,BMW,5 Series
WBAFR1C_B,2011,BMW,5 Series
WBAFR9C_B,2011,BMW,5 Series
WBAXG5C_C,2012,BMW,5 Series
WBAFR7C_D,2013,BMW,5 Series
WBAXG5C_D,2013,BMW,5 Series
WBAXH5C_D,2013,BMW,5 Series
WBA5B3C_E,2014,BMW,5 Series
WBA5B3C_F,2015,BMW,5 Series
WBAEH73_4,2004,BMW,6 Series
WBAEH73_5,2005,BMW,6 Series
WBAEH13_6,2006,BMW,6 Series
WBAEK13_6,2006,BMW,6 Series
WBAEK13_7,2007,BMW,6 Series
WBAEA53_8,2008,BMW,6 Series
WBAEB53_8,2008,BMW,6 Series
WBA6A0C_F,2015,BMW,6 Series
WBAGG83_Y,2000,BMW,7 Series
WBAGN63_2,2002,BMW,7 Series
WBAGN83_3,2003,BMW,7 Series
WBAGN63_5,2005,BMW,7 Series
WBAHL03_6,2006,BMW,7 Series
WBAHL83_6,2006,BMW,7 Series
WBAHN83_6,2006,BMW,7 Series
WBAHL83_7,2007,BMW,7 Series
WBAHN83_7,2007,BMW,7 Series
WBAHN83_8,2008,BMW,7 Series
WBAKB83_9,2009,BMW,7 Series
WBAKB8C_A,2010,BMW,7 Series
WBAYA8C_D,2013,BMW,7 Series
WBAYE8C_D,2013,BMW,7 Series
WBAYA8C_E,2014,BMW,7 Series
WBSBR93_2,2002,BMW,M3
WBSBR93_5,2005,BMW,M3
WBSKG9C_C,2012,BMW,M3
WBS3C9C_F,2015,BMW,M3
WBS3R9C_F,2015,BMW,M4
WBSDE93_3,2003,BMW,M5
WBSNB93_8,2008,BMW,M5
WBSEK93_7,2007,BMW,M6
WBXPA73_4,2004,BMW,X3
WBXPA93_4,2004,BMW,X3
WBXPA93_5,2005,BMW,X3
WBXPA93_6,2006,BMW,X3
WBXPC93_7,2007,BMW,X3
WBXPC93_8,2008,BMW,X3
WBXPC93_9,2009,BMW,X3
5UXWX9C_E,2014,BMW,X3
5UXWX9C_F,2015,BMW,X3
5UXWX9C_G,2016,BMW,X3
5UXFA53_2,2002,BMW,X5
5UXFA53_3,2003,BMW,X5
5UXFB33_3,2003,BMW,X5
5UXFB53_5,2005,BMW,X5
5UXFB53_6,2006,BMW,X5
4USFE43_7,2007,BMW,X5
5UXFE43_7,2007,BMW,X5
5UXFE43_8,2008,BMW,X5
5UXFE4C_A,2010,BMW,X5
5UXZV4C_B,2011,BMW,X5
5UXZW0C_B,2011,BMW,X5
5UXZV8C_D,2013,BMW,X5
5UXKR0C_E,2014,BMW,X5
5UXKR6C_F,2015,BMW,X5
5UXKR0C_G,2016,BMW,X5
5UXKT0C_G,2016,BMW,X5
5UXFG2C_D,2013,BMW,X6
4USCJ33_V,1997,BMW,Z3
4USCH73_W,1998,BMW,Z3
4USCN53_2,2002,BMW,Z3
4USBT33_3,2003,BMW,Z4
4USBT33_4,2004,BMW,Z4
4USBT53_4,2004,BMW,Z4
4USBT53_5,2005,BMW,Z4
4USBU33_6,2006,BMW,Z4
SCBCR63_4,2004,Bentley,Continental
SCBCR63_5,2005,Bentley,Continental
SCBBR53_6,2006,Bentley,Continental
SCBZR03_L,1990,Bentley,Turbo
2G4WS52_X,1999,Buick,Century
2G4WY52_X,1999,Buick,Century
2G4WS52_Y,2000,Buick,Century
2G4WS52_1,2001,Buick,Century
2G4WY55_1,2001,Buick,Century
2G4WS52_2,2002,Buick,Century
5GAER13_8,2008,Buick,Enclave
5GAER23_8,2008,Buick,Enclave
5GAEV23_8,2008,Buick,Enclave
5GAER23_9,2009,Buick,Enclave
5GAEV23_9,2009,Buick,Enclave
5GALRBE_A,2010,Buick,Enclave
5GAKRBE_B,2011,Buick,Enclave
5GAKVCE_B,2011,Buick,Enclave
5GAKRCE_C,2012,Buick,Enclave
5GAKVDE_C,2012,Buick,Enclave
5GAKRAK_E,2014,Buick,Enclave
5GAKRBK_E,2014,Buick,Enclave
5GAKVAK_E,2014,Buick,Enclave
5GAKVCK_E,2014,Buick,Enclave
5GAKRCK_F,2015,Buick,Enclave
5GAKRBK_G,2016,Buick,Enclave
5GAKVBK_G,2016,Buick,Enclave
5GAKRBK_H,2017,Buick,Enclave
KL4CJBS_D,2013,Buick,Encore
KL4CJAS_E,2014,Buick,Encore
KL4CJBS_E,2014,Buick,Encore
KL4CJCS_E,2014,Buick,Encore
KL4CJGS_E,2014,Buick,Encore
KL4CJBS_F,2015,Buick,Encore
KL4CJFS_F,2015,Buick,Encore
KL4CJAS_G,2016,Buick,Encore
KL4CJCS_G,2016,Buick,Encore
2G4WC53_5,2005,Buick,LaCrosse
2G4WC55_6,2006,Buick,LaCrosse
2G4WC58_6,2006,Buick,LaCrosse
2G4WD58_6,2006,Buick,LaCrosse
2G4WE58_6,2006,Buick,LaCrosse
2G4WD58_7,2007,Buick,LaCrosse
2G4WC58_8,2008,Buick,LaCrosse
2G4WD58_8,2008,Buick,LaCrosse
2G4WD58_9,2009,Buick,LaCrosse
1G4GC5E_B,2011,Buick,LaCrosse
1G4GE5E_B,2011,Buick,LaCrosse
1G4GD5E_C,2012,Buick,LaCrosse
1G4GF5E_C,2012,Buick,LaCrosse
1G4GA5E_D,2013,Buick,LaCrosse
1G4GC5E_D,2013,Buick,LaCrosse
1G4GB5G_E,2014,Buick,LaCrosse
1G4GD5G_E,2014,Buick,LaCrosse
1G4GB5G_G,2016,Buick,LaCrosse
1G4HP52_V,1997,Buick,LeSabre
1G4HP54_2,2002,Buick,LeSabre
1G4HP52_3,2003,Buick,LeSabre
1G4HR54_3,2003,Buick,LeSabre
1G4HP52_4,2004,Buick,LeSabre
1G4HP52_5,2005,Buick,LeSabre
1G4HP54_5,2005,Buick,LeSabre
1G4HD57_6,2006,Buick,Lucerne
1G4HE57_6,2006,Buick,Lucerne
1G4HR57_6,2006,Buick,Lucerne
1G4HE5E_A,2010,Buick,Lucerne
1G4CW52_W,1998,Buick,Park Avenue
1G4CW52_X,1999,Buick,Park Avenue
1G4CU52_Y,2000,Buick,Park Avenue
1G4CU54_Y,2000,Buick,Park Avenue
2G4WF52_T,1996,Buick,Regal
2G4WB52_3,2003,Buick,Regal
2G4WB55_4,2004,Buick,Regal
2G4GN5E_B,2011,Buick,Regal
W04GN5E_B,2011,Buick,Regal
W04GS5E_B,2011,Buick,Regal
2G4GR5E_C,2012,Buick,Regal
2G4GS5E_D,2013,Buick,Regal
2G4GT5G_D,2013,Buick,Regal
2G4GR5G_E,2014,Buick,Regal
2G4GT5G_F,2015,Buick,Regal
2G4GK5E_G,2016,Buick,Regal
2G4GP5E_G,2016,Buick,Regal
3G5DA03_2,2002,Buick,Rendezvous
3G5DA03_3,2003,Buick,Rendezvous
3G5DB03_4,2004,Buick,Rendezvous
3G5DA03_6,2006,Buick,Rendezvous
3G5DA03_7,2007,Buick,Rendezvous
1G4BN52_T,1996,Buick,Roadmaster
5GADV33_5,2005,Buick,Terraza
1G4PP5S_C,2012,Buick,Verano
1G4PP5S_D,2013,Buick,Verano
1G4PP5S_E,2014,Buick,Verano
1G4PN5S_F,2015,Buick,Verano
1G6AA5R_D,2013,Cadillac,ATS
1G6AH5R_D,2013,Cadillac,ATS
1G6AB5R_F,2015,Cadillac,ATS
1G6AB5R_G,2016,Cadillac,ATS
1G6VR31_H,1987,Cadillac,Allante
1G6VS33_P,1993,Cadillac,Allante
1G6DM57_3,2003,Cadillac,CTS
1G6DM57_4,2004,Cadillac,CTS
1G6DM56_5,2005,Cadillac,CTS
1G6DP56_5,2005,Cadillac,CTS
1G6DM57_6,2006,Cadillac,CTS
1G6DP57_6,2006,Cadillac,CTS
1G6DM57_7,2007,Cadillac,CTS
1G6DF57_8,2008,Cadillac,CTS
1G6DJ57_8,2008,Cadillac,CTS
1G6DM57_8,2008,Cadillac,CTS
1G6DR57_8,2008,Cadillac,CTS
1G6DF57_9,2009,Cadillac,CTS
1G6DG57_9,2009,Cadillac,CTS
1G6DJ57_9,2009,Cadillac,CTS
1G6DS57_9,2009,Cadillac,CTS
1G6DE5E_A,2010,Cadillac,CTS
1G6DJ5E_A,2010,Cadillac,CTS
1G6DA5E_B,2011,Cadillac,CTS
1G6DK1E_B,2011,Cadillac,CTS
1G6DP1E_C,2012,Cadillac,CTS
1G6DV8E_C,2012,Cadillac,CTS
1G6AP5S_E,2014,Cadillac,CTS
1G6AS5S_E,2014,Cadillac,CTS
1G6DC1E_E,2014,Cadillac,CTS
1G6KD57_6,2006,Cadillac,DTS
1G6KD57_7,2007,Cadillac,DTS
1G6KD57_8,2008,Cadillac,DTS
1G6KD52_S,1995,Cadillac,DeVille
1G6KD52_T,1996,Cadillac,DeVille
1G6KD54_V,1997,Cadillac,DeVille
1G6KE57_Y,2000,Cadillac,DeVille
1G6KD54_1,2001,Cadillac,DeVille
1G6KD54_2,2002,Cadillac,DeVille
1G6KF57_2,2002,Cadillac,DeVille
1G6KD54_5,2005,Cadillac,DeVille
1G6EL12_2,2002,Cadillac,Eldorado
1GYEK13_X,1999,Cadillac,Escalade
1GYEK13_Y,2000,Cadillac,Escalade
1GYEK63_Y,2000,Cadillac,Escalade
1GYEK63_2,2002,Cadillac,Escalade
3GYEK63_2,2002,Cadillac,Escalade
1GYEC63_3,2003,Cadillac,Escalade
1GYEK63_3,2003,Cadillac,Escalade
1GYEK63_4,2004,Cadillac,Escalade
3GYEK62_4,2004,Cadillac,Escalade
3GYFK66_4,2004,Cadillac,Escalade
1GYEC63_5,2005,Cadillac,Escalade
1GYEK63_5,2005,Cadillac,Escalade
1GYEC63_6,2006,Cadillac,Escalade
3GYEK62_6,2006,Cadillac,Escalade
3GYFK66_6,2006,Cadillac,Escalade
1GYEC63_7,2007,Cadillac,Escalade
1GYFK63_7,2007,Cadillac,Escalade
1GYFK66_7,2007,Cadillac,Escalade
3GYFK62_7,2007,Cadillac,Escalade
1GYEC63_8,2008,Cadillac,Escalade
1GYFK63_8,2008,Cadillac,Escalade
1GYFK66_8,2008,Cadillac,Escalade
3GYFK62_8,2008,Cadillac,Escalade
1GYFK23_9,2009,Cadillac,Escalade
1GYUCBE_A,2010,Cadillac,Escalade
1GYS3PK_F,2015,Cadillac,Escalade
1G6AB69_C,1982,Cadillac,Fleetwood
1G6DW52_S,1995,Cadillac,Fleetwood
1GYDE63_4,2004,Cadillac,SRX
1GYEE63_4,2004,Cadillac,SRX
1GYEE63_5,2005,Cadillac,SRX
1GYEE63_6,2006,Cadillac,SRX
3GYFNDE_A,2010,Cadillac,SRX
3GYFNGE_A,2010,Cadillac,SRX
3GYFNJE_A,2010,Cadillac,SRX
3GYFNAE_B,2011,Cadillac,SRX
3GYFNBE_B,2011,Cadillac,SRX
3GYFNAE_D,2013,Cadillac,SRX
3GYFNCE_D,2013,Cadillac,SRX
3GYFNBE_F,2015,Cadillac,SRX
3GYFNBE_G,2016,Cadillac,SRX
1G6DC67_5,2005,Cadillac,STS
1G6DW67_5,2005,Cadillac,STS
1G6DC67_6,2006,Cadillac,STS
1G6DW67_6,2006,Cadillac,STS
1G6DC67_7,2007,Cadillac,STS
1G6KS52_V,1997,Cadillac,Seville
2G61P5S_D,2013,Cadillac,XTS
2G61M5S_E,2014,Cadillac,XTS
2G61U5S_F,2015,Cadillac,XTS
2G61M5S_G,2016,Cadillac,XTS
1GNDM15_K,1989,Chevrolet,Astro
3GNEC13_2,2002,Chevrolet,Avalanche 1500
3GNEK13_2,2002,Chevrolet,Avalanche 1500
3GNEC13_3,2003,Chevrolet,Avalanche 1500
3GNEK13_3,2003,Chevrolet,Avalanche 1500
3GNEC12_4,2004,Chevrolet,Avalanche 1500
3GNEK12_4,2004,Chevrolet,Avalanche 1500
3GNEC12_5,2005,Chevrolet,Avalanche 1500
3GNEK12_5,2005,Chevrolet,Avalanche 1500
3GNEC12_6,2006,Chevrolet,Avalanche 1500
3GNEC12_7,2007,Chevrolet,Avalanche 1500
3GNFK12_7,2007,Chevrolet,Avalanche 1500
3GNEC12_8,2008,Chevrolet,Avalanche 1500
3GNFK12_8,2008,Chevrolet,Avalanche 1500
3GNEC12_9,2009,Chevrolet,Avalanche 1500
3GNEC22_9,2009,Chevrolet,Avalanche 1500
3GNFK32_9,2009,Chevrolet,Avalanche 1500
3GNNCEE_A,2010,Chevrolet,Avalanche 1500
3GNVKGE_A,2010,Chevrolet,Avalanche 1500
3GNTKGE_B,2011,Chevrolet,Avalanche 1500
3GNMCGE_D,2013,Chevrolet,Avalanche 1500
KL1TD52_5,2005,Chevrolet,Aveo
KL1TG56_7,2007,Chevrolet,Aveo
KL1TD56_8,2008,Chevrolet,Aveo
KL1TD56_9,2009,Chevrolet,Aveo
KL1TG56_9,2009,Chevrolet,Aveo
KL1TD5D_A,2010,Chevrolet,Aveo
KL1TD6D_B,2011,Chevrolet,Aveo
KL1TG5D_B,2011,Chevrolet,Aveo
1GNCT18_K,1989,Chevrolet,Blazer
1GNDT13_T,1996,Chevrolet,Blazer
1GNCS13_Y,2000,Chevrolet,Blazer
1GNCS18_Y,2000,Chevrolet,Blazer
1GNDT13_Y,2000,Chevrolet,Blazer
1GNCS13_1,2001,Chevrolet,Blazer
1GNDT13_1,2001,Chevrolet,Blazer
1GNDT13_2,2002,Chevrolet,Blazer
1GNCS18_3,2003,Chevrolet,Blazer
1GNDT13_3,2003,Chevrolet,Blazer
1GNCS18_4,2004,Chevrolet,Blazer
1GNDT13_4,2004,Chevrolet,Blazer
1GCEK14_B,1981,Chevrolet,C/K 10
2GCEK14_F,1985,Chevrolet,C/K 10
1GCEK14_G,1986,Chevrolet,C/K 10
1GCDC14_L,1990,Chevrolet,C/K 1500
1GCEC19_P,1993,Chevrolet,C/K 1500
2GCEK19_P,1993,Chevrolet,C/K 1500
2GCEC19_S,1995,Chevrolet,C/K 1500
1GCEK19_T,1996,Chevrolet,C/K 1500
1GCEC19_V,1997,Chevrolet,C/K 1500
1GCEK14_W,1998,Chevrolet,C/K 1500
1GCGC29_R,1994,Chevrolet,C/K 2500
1GCFC29_T,1996,Chevrolet,C/K 2500
1GCFC24_W,1998,Chevrolet,C/K 2500
1GCGC24_W,1998,Chevrolet,C/K 2500
1GCHC39_S,1995,Chevrolet,C/K 3500
1GCHK33_V,1997,Chevrolet,C/K 3500
2G1FP32_W,1998,Chevrolet,Camaro
2G1FP32_1,2001,Chevrolet,Camaro
2G1FP22_2,2002,Chevrolet,Camaro
2G1FB1E_A,2010,Chevrolet,Camaro
2G1FC1E_A,2010,Chevrolet,Camaro
2G1FK1E_A,2010,Chevrolet,Camaro
2G1FS1E_A,2010,Chevrolet,Camaro
2G1FA1E_B,2011,Chevrolet,Camaro
2G1FB3D_B,2011,Chevrolet,Camaro
2G1FC1E_B,2011,Chevrolet,Camaro
2G1FJ1E_B,2011,Chevrolet,Camaro
2G1FK1E_B,2011,Chevrolet,Camaro
2G1FK3D_B,2011,Chevrolet,Camaro
2G1FA1E_C,2012,Chevrolet,Camaro
2G1FS1E_C,2012,Chevrolet,Camaro
2G1FA1E_D,2013,Chevrolet,Camaro
2G1FA1E_E,2014,Chevrolet,Camaro
2G1FE1E_E,2014,Chevrolet,Camaro
2G1FF1E_E,2014,Chevrolet,Camaro
2G1FJ1E_E,2014,Chevrolet,Camaro
2G1FD1E_F,2015,Chevrolet,Camaro
2G1FD3D_F,2015,Chevrolet,Camaro
2G1FK3D_F,2015,Chevrolet,Camaro
1G1FB1R_G,2016,Chevrolet,Camaro
1G1FH1R_H,2017,Chevrolet,Camaro
3GNAL3E_D,2013,Chevrolet,Captiva Sport
3GNFL3E_D,2013,Chevrolet,Captiva Sport
3GNAL1E_E,2014,Chevrolet,Captiva Sport
3GNAL2E_E,2014,Chevrolet,Captiva Sport
1G1JF52_X,1999,Chevrolet,Cavalier
1G1JC12_Y,2000,Chevrolet,Cavalier
1G1JF12_1,2001,Chevrolet,Cavalier
1G1JF52_2,2002,Chevrolet,Cavalier
1G1JS12_2,2002,Chevrolet,Cavalier
1G1JC52_4,2004,Chevrolet,Cavalier
1G1JF52_4,2004,Chevrolet,Cavalier
1G1AK52_5,2005,Chevrolet,Cobalt
1G1AL12_5,2005,Chevrolet,Cobalt
1G1AL14_5,2005,Chevrolet,Cobalt
1G1AK15_6,2006,Chevrolet,Cobalt
1G1AK55_6,2006,Chevrolet,Cobalt
1G1AK15_7,2007,Chevrolet,Cobalt
1G1AK58_7,2007,Chevrolet,Cobalt
1G1AL15_7,2007,Chevrolet,Cobalt
1G1AK58_8,2008,Chevrolet,Cobalt
1G1AL58_8,2008,Chevrolet,Cobalt
1G1AL18_9,2009,Chevrolet,Cobalt
1G1AP18_9,2009,Chevrolet,Cobalt
1G1AS58_9,2009,Chevrolet,Cobalt
1G1AT58_9,2009,Chevrolet,Cobalt
1G1AA1F_A,2010,Chevrolet,Cobalt
1G1AB1F_A,2010,Chevrolet,Cobalt
1G1AD5F_A,2010,Chevrolet,Cobalt
1G1AF5F_A,2010,Chevrolet,Cobalt
1GCCS14_4,2004,Chevrolet,Colorado
1GCCS19_4,2004,Chevrolet,Colorado
1GCDT19_4,2004,Chevrolet,Colorado
1GCCS19_5,2005,Chevrolet,Colorado
1GCDS19_5,2005,Chevrolet,Colorado
1GCDT13_5,2005,Chevrolet,Colorado
1GCCS19_6,2006,Chevrolet,Colorado
1GCDS13_6,2006,Chevrolet,Colorado
1GCDT13_6,2006,Chevrolet,Colorado
1GBDS14_7,2007,Chevrolet,Colorado
1GCCS19_7,2007,Chevrolet,Colorado
1GCCS13_8,2008,Chevrolet,Colorado
1GCCS14_8,2008,Chevrolet,Colorado
1GCCS29_8,2008,Chevrolet,Colorado
1GCCS33_8,2008,Chevrolet,Colorado
1GCCS19_9,2009,Chevrolet,Colorado
1GCCSCF_B,2011,Chevrolet,Colorado
1GCGTCF_B,2011,Chevrolet,Colorado
1GCHSDF_B,2011,Chevrolet,Colorado
1GCESCF_C,2012,Chevrolet,Colorado
1GCHTDF_C,2012,Chevrolet,Colorado
1GCJTCF_C,2012,Chevrolet,Colorado
1GCHS1E_F,2015,Chevrolet,Colorado
1GCHSBE_F,2015,Chevrolet,Colorado
1G1AY87_C,1982,Chevrolet,Corvette
1G1YY07_F,1985,Chevrolet,Corvette
1G1YY23_L,1990,Chevrolet,Corvette
1G1YY33_M,1991,Chevrolet,Corvette
1G1YY33_P,1993,Chevrolet,Corvette
1G1YY32_R,1994,Chevrolet,Corvette
1G1YY22_S,1995,Chevrolet,Corvette
1G1YY32_S,1995,Chevrolet,Corvette
1G1YY22_V,1997,Chevrolet,Corvette
1G1YY22_W,1998,Chevrolet,Corvette
1G1YY22_X,1999,Chevrolet,Corvette
1G1YY32_X,1999,Chevrolet,Corvette
1G1YY32_Y,2000,Chevrolet,Corvette
1G1YY22_1,2001,Chevrolet,Corvette
1G1YY12_2,2002,Chevrolet,Corvette
1G1YY22_2,2002,Chevrolet,Corvette
1G1YY12_3,2003,Chevrolet,Corvette
1G1YY32_3,2003,Chevrolet,Corvette
1G1YY12_4,2004,Chevrolet,Corvette
1G1YY22_4,2004,Chevrolet,Corvette
1G1YY32_4,2004,Chevrolet,Corvette
1G1YY24_5,2005,Chevrolet,Corvette
1G1YY34_5,2005,Chevrolet,Corvette
1G1YY25_6,2006,Chevrolet,Corvette
1G1YY26_7,2007,Chevrolet,Corvette
1G1YY36_7,2007,Chevrolet,Corvette
1G1YY26_8,2008,Chevrolet,Corvette
1G1YY36_8,2008,Chevrolet,Corvette
1G1YA2D_B,2011,Chevrolet,Corvette
1G1YF2D_B,2011,Chevrolet,Corvette
1G1YG3D_B,2011,Chevrolet,Corvette
